Test Name,Increment,Execution Status,Header Request,Request Body,Header Response,Response Detail,TestSuiteName,
adequateshop_login,1,Pass,{Url - http-//restapi.adequateshop.com/api/authaccount/login Type - POST Authorization - Bearer Token Accept - application/text},{  "email"- "jkhaumann@gmail.com"  "password"- 123456},No response"Cache-Control"-"no-cache""Pragma"-"no-cache""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-03 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"166",{"$id"-"1""code"-0"message"-"success""data"-{"$id"-"2""Id"-11145"Name"-"jkhaumann""Email"-"jkhaumann@gmail.com""Token"-"ac7e3eb5-6328-480c-be7f-63e14a2a08c8"}},Demo_test,
adequateshop_createUser,1,Pass,{Authorization - bearer ac7e3eb5-6328-480c-be7f-63e14a2a08c8 Url - http-//restapi.adequateshop.com/api/users Type - POST},{  "name"- "BGJYYWH88"  "email"- "SAGOEFJYXJ@gmail.com"  "location"- "US"},No response"Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14320""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-08 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214",{"$id"-"1""id"-14320"name"-"BGJYYWH88""email"-"SAGOEFJYXJ@gmail.com""profilepicture"-"http-//restapi.adequateshop.com/Media//Images/userimageicon.png""location"-"US""createdat"-"2021-12-23T13-47-08.0288063Z"},Demo_test,
adequateshop_createUser,2,Pass,{Authorization - bearer ac7e3eb5-6328-480c-be7f-63e14a2a08c8 Url - http-//restapi.adequateshop.com/api/users Type - POST},{  "name"- "KSKWBRU11"  "email"- "YCSLNTYXZW@gmail.com"  "location"- "UK"},No response"Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14320""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-08 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14321""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-09 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214",{"$id"-"1""id"-14321"name"-"KSKWBRU11""email"-"YCSLNTYXZW@gmail.com""profilepicture"-"http-//restapi.adequateshop.com/Media//Images/userimageicon.png""location"-"UK""createdat"-"2021-12-23T13-47-09.4263078Z"},Demo_test,
adequateshop_createUser,3,Pass,{Authorization - bearer ac7e3eb5-6328-480c-be7f-63e14a2a08c8 Url - http-//restapi.adequateshop.com/api/users Type - POST},{  "name"- "WWRYCQT7"  "email"- "SYXIGXMGGE@gmail.com"  "location"- "DK"},No response"Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14320""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-08 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14321""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-09 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14322""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-10 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"213",{"$id"-"1""id"-14322"name"-"WWRYCQT7""email"-"SYXIGXMGGE@gmail.com""profilepicture"-"http-//restapi.adequateshop.com/Media//Images/userimageicon.png""location"-"DK""createdat"-"2021-12-23T13-47-10.8385021Z"},Demo_test,
adequateshop_createUser,4,Pass,{Authorization - bearer ac7e3eb5-6328-480c-be7f-63e14a2a08c8 Url - http-//restapi.adequateshop.com/api/users Type - POST},{  "name"- "JLHQJTR49"  "email"- "LHPGDDKAVT@gmail.com"  "location"- "AU"},No response"Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14320""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-08 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14321""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-09 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14322""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-10 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"213""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14323""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-12 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214",{"$id"-"1""id"-14323"name"-"JLHQJTR49""email"-"LHPGDDKAVT@gmail.com""profilepicture"-"http-//restapi.adequateshop.com/Media//Images/userimageicon.png""location"-"AU""createdat"-"2021-12-23T13-47-12.2895627Z"},Demo_test,
adequateshop_createUser,5,Pass,{Authorization - bearer ac7e3eb5-6328-480c-be7f-63e14a2a08c8 Url - http-//restapi.adequateshop.com/api/users Type - POST},{  "name"- "TTMTRED34"  "email"- "YYMYXNNTGF@gmail.com"  "location"- "NZ"},No response"Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14320""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-08 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14321""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-09 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14322""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-10 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"213""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14323""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-12 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14324""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-13 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214",{"$id"-"1""id"-14324"name"-"TTMTRED34""email"-"YYMYXNNTGF@gmail.com""profilepicture"-"http-//restapi.adequateshop.com/Media//Images/userimageicon.png""location"-"NZ""createdat"-"2021-12-23T13-47-13.6534106Z"},Demo_test,
adequateshop_createUser,6,Pass,{Authorization - bearer ac7e3eb5-6328-480c-be7f-63e14a2a08c8 Url - http-//restapi.adequateshop.com/api/users Type - POST},{  "name"- "BWWABIV71"  "email"- "RNFWYCQEBL@gmail.com"  "location"- "ZA"},No response"Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14320""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-08 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14321""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-09 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14322""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-10 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"213""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14323""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-12 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14324""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-13 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14325""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-15 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214",{"$id"-"1""id"-14325"name"-"BWWABIV71""email"-"RNFWYCQEBL@gmail.com""profilepicture"-"http-//restapi.adequateshop.com/Media//Images/userimageicon.png""location"-"ZA""createdat"-"2021-12-23T13-47-15.0977158Z"},Demo_test,
adequateshop_createUser,7,Pass,{Authorization - bearer ac7e3eb5-6328-480c-be7f-63e14a2a08c8 Url - http-//restapi.adequateshop.com/api/users Type - POST},{  "name"- "JIAYGEL35"  "email"- "JCAFQFZRER@gmail.com"  "location"- "NL"},No response"Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14320""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-08 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14321""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-09 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14322""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-10 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"213""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14323""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-12 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14324""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-13 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14325""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-15 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14326""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-16 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214",{"$id"-"1""id"-14326"name"-"JIAYGEL35""email"-"JCAFQFZRER@gmail.com""profilepicture"-"http-//restapi.adequateshop.com/Media//Images/userimageicon.png""location"-"NL""createdat"-"2021-12-23T13-47-16.5235148Z"},Demo_test,
adequateshop_createUser,8,Pass,{Authorization - bearer ac7e3eb5-6328-480c-be7f-63e14a2a08c8 Url - http-//restapi.adequateshop.com/api/users Type - POST},{  "name"- "ZAGPELQ5"  "email"- "EXGLHBZIWU@gmail.com"  "location"- "AT"},No response"Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14320""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-08 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14321""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-09 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14322""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-10 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"213""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14323""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-12 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14324""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-13 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14325""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-15 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14326""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-16 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14327""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-17 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"213",{"$id"-"1""id"-14327"name"-"ZAGPELQ5""email"-"EXGLHBZIWU@gmail.com""profilepicture"-"http-//restapi.adequateshop.com/Media//Images/userimageicon.png""location"-"AT""createdat"-"2021-12-23T13-47-17.9511204Z"},Demo_test,
adequateshop_createUser,9,Pass,{Authorization - bearer ac7e3eb5-6328-480c-be7f-63e14a2a08c8 Url - http-//restapi.adequateshop.com/api/users Type - POST},{  "name"- "WOTFMTR51"  "email"- "XKGICCAGDO@gmail.com"  "location"- "CZ"},No response"Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14320""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-08 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14321""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-09 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14322""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-10 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"213""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14323""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-12 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14324""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-13 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14325""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-15 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14326""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-16 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14327""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-17 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"213""Cache-Control"-"no-cache""Pragma"-"no-cache""Location"-"http-//restapi.adequateshop.com/api/users/14328""Server"-"Microsoft-IIS/10.0""X-AspNet-Version"-"4.0.30319""X-Powered-By"-"ASP.NET""Date"-"Thu 23 Dec 2021 13-47-19 GMT""Content-Type"-"application/json; charset=utf-8""Expires"-"-1""Content-Length"-"214",{"$id"-"1""id"-14328"name"-"WOTFMTR51""email"-"XKGICCAGDO@gmail.com""profilepicture"-"http-//restapi.adequateshop.com/Media//Images/userimageicon.png""location"-"CZ""createdat"-"2021-12-23T13-47-19.3493714Z"},Demo_test,
